t,rest,exc,muc,prf,sht,blt
1.0,0.0,1.0,0.0,0.0,0.0,0.0
5.0,0.0,0.9963503649635036,0.0036496350364963502,0.0,0.0,0.0
10.0,0.0,0.9927007299270073,0.0072992700729927005,0.0,0.0,0.0
15.0,0.0,0.9927007299270073,0.0072992700729927005,0.0,0.0,0.0
20.0,0.0,0.9744525547445255,0.021897810218978103,0.0036496350364963502,0.0,0.0
25.0,0.0,0.9562043795620438,0.0364963503649635,0.0036496350364963502,0.0036496350364963502,0.0
30.0,0.0024449877750611247,0.9242053789731053,0.055012224938875316,0.01466992665036675,0.0036674816625916875,0.0
35.0,0.001219512195121951,0.9182926829268292,0.05853658536585365,0.018292682926829267,0.003658536585365853,0.0
40.0,0.003676470588235294,0.875,0.09926470588235294,0.003676470588235294,0.01838235294117647,0.0
45.0,0.006157635467980296,0.8349753694581282,0.1366995073891626,0.003694581280788178,0.01847290640394089,0.0
50.0,0.007407407407407407,0.6481481481481481,0.31851851851851853,0.0,0.025925925925925925,0.0
55.0,0.007407407407407407,0.5814814814814815,0.3851851851851852,0.0,0.025925925925925925,0.0
60.0,0.009925558312655085,0.24193548387096772,0.7146401985111662,0.007444168734491314,0.026054590570719603,0.0
65.0,0.009925558312655085,0.2196029776674938,0.7295285359801489,0.014888337468982629,0.026054590570719603,0.0
70.0,0.012468827930174562,0.10473815461346632,0.8341645885286781,0.02244389027431421,0.02618453865336658,0.0
75.0,0.012468827930174562,0.08977556109725685,0.8379052369077306,0.02618453865336658,0.033665835411471313,0.0
80.0,0.013750000000000004,0.052500000000000005,0.8625000000000002,0.026250000000000002,0.045000000000000005,0.0
85.0,0.012468827930174562,0.04114713216957605,0.8678304239401495,0.02992518703241895,0.04862842892768079,0.0
90.0,0.013750000000000004,0.026250000000000002,0.8250000000000001,0.07125000000000001,0.06375000000000001,0.0
95.0,0.016331658291457284,0.022613065326633163,0.7726130653266331,0.11683417085427134,0.07160804020100502,0.0
100.0,0.021573604060913704,0.011421319796954316,0.651015228426396,0.20939086294416245,0.10659898477157362,0.0
105.0,0.02290076335877862,0.011450381679389313,0.5725190839694656,0.23282442748091603,0.16030534351145037,0.0
110.0,0.025575447570332477,0.019181585677749365,0.39130434782608703,0.29923273657289007,0.26470588235294124,0.0
115.0,0.024234693877551013,0.01913265306122449,0.3405612244897959,0.2793367346938776,0.33290816326530615,0.0038265306122448983
120.0,0.02963917525773195,0.027061855670103097,0.19329896907216498,0.24355670103092786,0.49484536082474234,0.011597938144329899
125.0,0.03238341968911916,0.031088082901554407,0.15932642487046633,0.21761658031088085,0.5440414507772021,0.015544041450777204
130.0,0.03655352480417754,0.023498694516971282,0.12140992167101829,0.15274151436031333,0.6462140992167102,0.0195822454308094
135.0,0.03795811518324607,0.0274869109947644,0.1099476439790576,0.13743455497382198,0.6636125654450262,0.02356020942408377
140.0,0.03937007874015748,0.015748031496062992,0.09055118110236221,0.08661417322834646,0.7362204724409449,0.031496062992125984
145.0,0.04078947368421053,0.007894736842105263,0.09473684210526316,0.075,0.7381578947368421,0.043421052631578944
150.0,0.04078947368421053,0.003947368421052632,0.06315789473684211,0.05526315789473684,0.7894736842105263,0.04736842105263158
155.0,0.04509283819628648,0.007957559681697613,0.055702917771883284,0.04376657824933687,0.7957559681697612,0.05172413793103448
160.0,0.04654255319148937,0.003989361702127659,0.05585106382978723,0.019946808510638295,0.8178191489361701,0.05585106382978723
165.0,0.04654255319148937,0.003989361702127659,0.04388297872340425,0.023936170212765957,0.8138297872340425,0.0678191489361702
170.0,0.0524193548387097,0.004032258064516129,0.020161290322580645,0.020161290322580645,0.8145161290322581,0.08870967741935484
175.0,0.05114401076716018,0.004037685060565276,0.016150740242261104,0.008075370121130552,0.7994616419919246,0.12113055181695827
180.0,0.06043956043956047,0.0,0.016483516483516484,0.004120879120879121,0.7335164835164835,0.18543956043956042
185.0,0.06353591160220998,0.0,0.016574585635359115,0.004143646408839779,0.6878453038674033,0.22790055248618785
190.0,0.06666666666666671,0.0,0.025,0.0,0.6083333333333333,0.3
195.0,0.0717299578059072,0.0,0.02531645569620253,0.004219409282700422,0.5527426160337553,0.3459915611814346
200.0,0.07234042553191493,0.0,0.029787234042553193,0.00851063829787234,0.4978723404255319,0.39148936170212767
205.0,0.07264957264957268,0.0,0.029914529914529916,0.004273504273504274,0.4444444444444444,0.44871794871794873
210.0,0.06676136363636367,0.0,0.03409090909090909,0.012784090909090908,0.37499999999999994,0.5113636363636364
215.0,0.06250000000000003,0.0,0.03409090909090909,0.017045454545454544,0.36221590909090906,0.5241477272727272
220.0,0.06303724928366765,0.0,0.03008595988538682,0.02148997134670487,0.2836676217765043,0.6017191977077363
225.0,0.06493506493506497,0.0,0.030303030303030304,0.025974025974025976,0.2727272727272727,0.6060606060606061
230.0,0.06521739130434787,0.0,0.030434782608695653,0.030434782608695653,0.22608695652173913,0.6478260869565218
235.0,0.0683506686478455,0.0,0.031203566121842496,0.022288261515601784,0.22734026745913818,0.6508172362555721
240.0,0.07480916030534356,0.0,0.022900763358778626,0.022900763358778626,0.19694656488549617,0.682442748091603
245.0,0.07870370370370373,0.0,0.018518518518518517,0.018518518518518517,0.17592592592592593,0.7083333333333334
250.0,0.08737864077669905,0.0,0.019417475728155338,0.0048543689320388345,0.18932038834951456,0.6990291262135923
255.0,0.08760330578512399,0.0,0.014876033057851238,0.014876033057851238,0.18347107438016527,0.6991735537190082
260.0,0.0942408376963351,0.0,0.010471204188481676,0.015706806282722512,0.193717277486911,0.6858638743455497
265.0,0.10280373831775702,0.0,0.011214953271028037,0.016822429906542057,0.18504672897196262,0.6841121495327103
270.0,0.11623246492985972,0.0,0.006012024048096193,0.024048096192384773,0.18036072144288579,0.6733466933867737
275.0,0.12578616352201255,0.0,0.006289308176100629,0.012578616352201259,0.18867924528301888,0.6666666666666666
280.0,0.13698630136986298,0.0,0.00684931506849315,0.0136986301369863,0.19863013698630136,0.6438356164383562
285.0,0.14285714285714282,0.0,0.0,0.02142857142857143,0.2,0.6357142857142857
290.0,0.1811023622047243,0.0,0.0,0.007874015748031498,0.22834645669291342,0.5826771653543308
295.0,0.1983471074380164,0.0,0.0,0.008264462809917356,0.22314049586776863,0.5702479338842976
300.0,0.24096385542168655,0.0,0.0,0.009036144578313254,0.2439759036144579,0.5060240963855422
305.0,0.2499999999999998,0.0,0.0,0.0,0.25632911392405067,0.49367088607594944
310.0,0.25742574257425727,0.0,0.0,0.009900990099009905,0.2475247524752476,0.4851485148514853
315.0,0.28421052631578925,0.0,0.0,0.010526315789473687,0.2421052631578948,0.46315789473684227
320.0,0.3085501858736057,0.0,0.0,0.0,0.25650557620817854,0.4349442379182158
325.0,0.3068181818181816,0.0,0.0,0.0,0.25000000000000006,0.44318181818181834
330.0,0.31660231660231636,0.0,0.0,0.0,0.23166023166023175,0.4517374517374519
335.0,0.34297520661157005,0.0,0.0,0.0,0.23553719008264473,0.42148760330578533
340.0,0.34728033472803327,0.0,0.0,0.0,0.20083682008368212,0.45188284518828475
345.0,0.356223175965665,0.0,0.0,0.0,0.19313304721030053,0.45064377682403456
350.0,0.33766233766233744,0.0,0.0,0.0,0.20779220779220786,0.4545454545454547
355.0,0.3318777292576417,0.0,0.0,0.0,0.19650655021834065,0.47161572052401757
360.0,0.3303571428571427,0.0,0.0,0.0,0.1741071428571429,0.49553571428571447
365.0,0.33640552995391687,0.0,0.0,0.0,0.17972350230414752,0.4838709677419356
370.0,0.33802816901408433,0.0,0.0,0.0,0.15492957746478878,0.5070422535211269
375.0,0.3432835820895521,0.0,0.0,0.0,0.13432835820895525,0.5223880597014926
380.0,0.3709677419354837,0.0,0.0,0.0,0.12903225806451615,0.5000000000000001
385.0,0.37362637362637346,0.0,0.0,0.0,0.1153846153846154,0.5109890109890111
390.0,0.41463414634146323,0.0,0.0,0.0,0.1280487804878049,0.4573170731707318
395.0,0.39999999999999986,0.0,0.0,0.0,0.11250000000000002,0.48750000000000004
400.0,0.3881578947368421,0.0,0.0,0.0,0.07894736842105264,0.5328947368421053
405.0,0.37583892617449666,0.0,0.0,0.0,0.08053691275167785,0.5436241610738255
410.0,0.3829787234042554,0.0,0.0,0.0,0.06382978723404255,0.5531914893617021
415.0,0.3909774436090226,0.0,0.0,0.0,0.06766917293233081,0.5413533834586465
420.0,0.41592920353982316,0.0,0.0,0.0,0.1061946902654867,0.4778761061946901
425.0,0.4059405940594061,0.0,0.0,0.0,0.11881188118811879,0.47524752475247517
430.0,0.4000000000000001,0.0,0.0,0.0,0.09473684210526315,0.5052631578947367
435.0,0.38709677419354843,0.0,0.0,0.0,0.09677419354838708,0.5161290322580645
440.0,0.4137931034482759,0.0,0.0,0.0,0.10344827586206895,0.48275862068965514
445.0,0.4074074074074075,0.0,0.0,0.0,0.1111111111111111,0.48148148148148145
450.0,0.39999999999999997,0.0,0.0,0.0,0.1285714285714286,0.4714285714285715
455.0,0.3809523809523808,0.0,0.0,0.0,0.09523809523809526,0.523809523809524
460.0,0.36842105263157887,0.0,0.0,0.0,0.10526315789473686,0.5263157894736843
465.0,0.36842105263157887,0.0,0.0,0.0,0.10526315789473686,0.5263157894736843
470.0,0.41304347826086946,0.0,0.0,0.0,0.13043478260869565,0.4565217391304348
475.0,0.3999999999999999,0.0,0.0,0.0,0.13333333333333336,0.46666666666666673
480.0,0.47499999999999987,0.0,0.0,0.0,0.07500000000000001,0.45000000000000007
485.0,0.5135135135135134,0.0,0.0,0.0,0.08108108108108109,0.40540540540540543
490.0,0.6129032258064515,0.0,0.0,0.0,0.0,0.38709677419354843
495.0,0.6249999999999999,0.0,0.0,0.0,0.0,0.3750000000000001
500.0,0.6129032258064515,0.0,0.0,0.0,0.0,0.38709677419354843
505.0,0.6785714285714284,0.0,0.0,0.0,0.0,0.32142857142857145
510.0,0.6785714285714284,0.0,0.0,0.0,0.0,0.32142857142857145
515.0,0.6785714285714284,0.0,0.0,0.0,0.0,0.32142857142857145
520.0,0.6,0.0,0.0,0.0,0.10000000000000002,0.30000000000000004
525.0,0.6,0.0,0.0,0.0,0.10000000000000002,0.30000000000000004
530.0,0.6,0.0,0.0,0.0,0.10000000000000002,0.30000000000000004
535.0,0.6,0.0,0.0,0.0,0.10000000000000002,0.30000000000000004
540.0,0.6,0.0,0.0,0.0,0.10000000000000002,0.30000000000000004
545.0,0.5862068965517241,0.0,0.0,0.0,0.10344827586206899,0.31034482758620696
550.0,0.5862068965517241,0.0,0.0,0.0,0.10344827586206899,0.31034482758620696
555.0,0.6538461538461539,0.0,0.0,0.0,0.11538461538461542,0.23076923076923084
560.0,0.6538461538461539,0.0,0.0,0.0,0.0,0.34615384615384626
565.0,0.6538461538461539,0.0,0.0,0.0,0.0,0.34615384615384626
570.0,0.7499999999999999,0.0,0.0,0.0,0.0,0.25000000000000006
575.0,0.7499999999999999,0.0,0.0,0.0,0.0,0.25000000000000006
580.0,0.7391304347826086,0.0,0.0,0.0,0.0,0.26086956521739135
585.0,0.7391304347826086,0.0,0.0,0.0,0.0,0.26086956521739135
590.0,0.85,0.0,0.0,0.0,0.0,0.15000000000000002
595.0,0.85,0.0,0.0,0.0,0.0,0.15000000000000002
600.0,0.85,0.0,0.0,0.0,0.0,0.15000000000000002
605.0,0.85,0.0,0.0,0.0,0.0,0.15000000000000002
